project,commit_count
https://github.com/polarssl/polarssl,16
https://github.com/h2o/h2o,16
https://github.com/SpiderLabs/ModSecurity,16
https://github.com/eclipse/openj9,16
https://github.com/rpm-software-management/rpm,16
https://github.com/drupal/drupal,16
https://github.com/sanluan/PublicCMS,16
https://github.com/syoyo/tinyexr,16
https://github.com/opnsense/core,16
https://github.com/kkos/oniguruma,16
https://github.com/s9y/Serendipity,16
https://github.com/francoisjacquet/rosariosis,16
https://github.com/gpg/libgcrypt,15
https://github.com/miniupnp/miniupnp,15
https://github.com/gluster/glusterfs,15
https://github.com/OpenMage/magento-lts,15
https://github.com/mirror/libX11,15
https://github.com/etcd-io/etcd,15
https://github.com/apache/tika,15
https://github.com/NLnetLabs/routinator,15
https://github.com/rabbitmq/rabbitmq-server,15
https://github.com/bludit/bludit,15
https://github.com/silverstripe/sapphire,15
https://github.com/aimeos/ai-controller-frontend,15
https://github.com/Netatalk/netatalk,15
https://github.com/rsyslog/rsyslog,15
https://github.com/quassel/quassel,15
https://github.com/NagiosEnterprises/nagioscore,15
https://github.com/vantage6/vantage6,15
https://github.com/DanBloomberg/leptonica,15
https://github.com/DPDK/dpdk,15
https://github.com/nextcloud/mail,15
https://github.com/mattermost/mattermost,15
https://github.com/openwrt/luci,15
https://github.com/znc/znc,15
https://github.com/libexif/libexif,15
https://github.com/JPressProjects/jpress,15
https://github.com/GNOME/glib,14
https://github.com/ONLYOFFICE/DocumentServer,14
https://github.com/qutebrowser/qutebrowser,14
https://github.com/espocrm/espocrm,14
https://github.com/fontforge/fontforge,14
https://github.com/c-ares/c-ares,14
https://github.com/transmission/transmission,14
https://github.com/stefanberger/libtpms,14
https://github.com/gerbv/gerbv,14
https://github.com/PHPFusion/PHPFusion,14
https://github.com/RocketChat/Rocket.Chat,14
https://github.com/composer/composer,14
https://github.com/rizinorg/rizin,14
https://github.com/brackeen/ok-file-formats,14
https://github.com/libguestfs/libguestfs,14
https://github.com/OpenAPITools/openapi-generator,14
https://github.com/bfabiszewski/libmobi,14
https://github.com/nodejs/undici,14
https://github.com/ethyca/fides,14
https://github.com/varnishcache/varnish-cache,14
https://github.com/geoserver/geoserver,14
https://github.com/cockpit-hq/cockpit,14
https://github.com/thorfdbg/libjpeg,14
https://github.com/libimobiledevice/libplist,14
https://github.com/podofo/podofo,14
https://github.com/NginxProxyManager/nginx-proxy-manager,14
https://github.com/hashicorp/nomad,14
https://github.com/kspalaiologos/bzip3,14
https://github.com/gradle/gradle,14
https://github.com/weidai11/cryptopp,14
https://github.com/torproject/tor,14
https://github.com/salesagility/suitecrm,14
https://github.com/TestLinkOpenSourceTRMS/testlink-code,14
https://github.com/bitcoin/bitcoin,14
https://github.com/adplug/adplug,14
https://github.com/cyrusimap/cyrus-imapd,14
https://github.com/389ds/389-ds-base,14
https://github.com/silverstripe/silverstripe-framework,14
https://github.com/openssh/openssh-portable,14
https://github.com/eclipse-openj9/openj9,14
https://github.com/Studio-42/elFinder,14
https://github.com/phusion/passenger,14
https://github.com/gpg/libksba,13
https://github.com/bookstackapp/bookstack,13
https://github.com/OpenRefine/OpenRefine,13
https://github.com/zmartzone/mod_auth_openidc,13
https://github.com/saleor/saleor,13
https://github.com/keylime/keylime,13
https://github.com/inspircd/inspircd,13
https://github.com/sysstat/sysstat,13
https://github.com/publify/publify,13
https://github.com/strukturag/libheif,13
https://github.com/OpenSIPS/opensips,13
https://github.com/cacalabs/libcaca,13
https://github.com/goharbor/harbor,13
https://github.com/WayneD/rsync,13
https://github.com/dataease/dataease,13
https://github.com/openshift/origin,13
https://github.com/Graylog2/graylog2-server,13
https://github.com/sudo-project/sudo,13
https://github.com/patriksimek/vm2,13
https://github.com/pfsense/pfsense,13
https://github.com/modoboa/modoboa,13
https://github.com/chatwoot/chatwoot,13
https://github.com/inverse-inc/sogo,13
https://github.com/pulp/pulp,13
https://github.com/DaveGamble/cJSON,13
https://github.com/ether/etherpad-lite,13
https://github.com/GNOME/librsvg,13
https://github.com/aubio/aubio,13
https://github.com/octobercms/library,13
https://github.com/GNOME/evince,13
https://github.com/tianocore/edk2,13
https://github.com/getsentry/sentry,13
https://github.com/nginx/nginx,13
https://github.com/skvadrik/re2c,13
https://github.com/lief-project/LIEF,12
https://github.com/rohe/pysaml2,12
https://github.com/shekyan/slowhttptest,12
https://github.com/backstage/backstage,12
https://github.com/nilsteampassnet/TeamPass,12
https://github.com/dolibarr/dolibarr,12
https://github.com/agentejo/cockpit,12
https://github.com/dompdf/dompdf,12
https://github.com/heimdal/heimdal,12
https://github.com/DCMTK/dcmtk,12
https://github.com/RaspAP/raspap-webgui,12
https://github.com/xibosignage/xibo-cms,12
https://github.com/jquery/jquery,12
https://github.com/authzed/spicedb,12
https://github.com/ARMmbed/mbed-os,12
https://github.com/ipython/ipython,12
https://github.com/jenkinsci/git-plugin,12
https://github.com/EIPStackGroup/OpENer,12
https://github.com/simplesamlphp/simplesamlphp,12
https://github.com/Icinga/icingaweb2,12
https://github.com/dogtagpki/pki,12
https://github.com/shopware/core,12
https://github.com/freeipa/freeipa,12
https://github.com/mailcow/mailcow-dockerized,12
https://github.com/Alinto/sogo,12
https://github.com/containerd/containerd,12
https://github.com/acassen/keepalived,12
https://github.com/yugabyte/yugabyte-db,12
https://github.com/sequelize/sequelize,12
https://github.com/kovidgoyal/calibre,12
https://github.com/kevinpapst/kimai2,12
https://github.com/nextcloud/android,12
https://github.com/twbs/bootstrap,12
https://github.com/symphonycms/symphony-2,12
https://github.com/erlyaws/yaws,12
https://github.com/cri-o/cri-o,12
https://github.com/zblogcn/zblogphp,12
https://github.com/nextcloud/deck,12
https://github.com/openstack/horizon,12
https://github.com/anuko/timetracker,12
https://github.com/vert-x3/vertx-web,12
https://github.com/phpmyadmin/composer,12
https://github.com/laravel/framework,12
https://github.com/tgstation/tgstation-server,12
https://github.com/twigphp/Twig,12
https://github.com/moby/buildkit,12
https://github.com/OS4ED/openSIS-Responsive-Design,12
https://github.com/nocodb/nocodb,12
https://github.com/b2evolution/b2evolution,11
https://github.com/pallets/werkzeug,11
https://github.com/pgadmin-org/pgadmin4,11
https://github.com/osTicket/osTicket,11
https://github.com/WPO-Foundation/webpagetest,11
https://github.com/makeplane/plane,11
https://github.com/matrix-org/sydent,11
https://github.com/TryGhost/Ghost,11
https://github.com/nextauthjs/next-auth,11
https://github.com/vaadin/flow,11
https://github.com/vincentbernat/lldpd,11
https://github.com/puma/puma,11
https://github.com/x-stream/xstream,11
https://github.com/sparklemotion/nokogiri,11
https://github.com/rails/rails-html-sanitizer,11
https://github.com/ossec/ossec-hids,11
https://github.com/flarum/framework,11
https://github.com/zsh-users/zsh,11
https://github.com/nextcloud/text,11
https://github.com/xkbcommon/libxkbcommon,11
https://github.com/yiisoft/yii2,11
https://github.com/Samsung/mTower,11
https://github.com/TYPO3/TYPO3.CMS,11
https://github.com/mindsdb/mindsdb,11
https://github.com/fatfreecrm/fat_free_crm,11
https://github.com/coreruleset/coreruleset,11
https://github.com/Froxlor/Froxlor,11
https://github.com/sulu/sulu,11
https://github.com/htcondor/htcondor,11
https://github.com/edx/edx-platform,11
https://github.com/nextcloud/user_oidc,11
https://github.com/lighttpd/lighttpd1.4,11
https://github.com/fossbilling/fossbilling,11
https://github.com/textpattern/textpattern,11
https://github.com/sebhildebrandt/systeminformation,11
https://github.com/Requarks/wiki,11
https://github.com/pimcore/admin-ui-classic-bundle,11
https://github.com/facebook/fbthrift,11
https://github.com/openstack/neutron,11
https://github.com/kyz/libmspack,11
https://github.com/elastic/elasticsearch,11
https://github.com/marcobambini/gravity,11
https://github.com/shaarli/Shaarli,11
https://github.com/EyesOfNetworkCommunity/eonweb,11
https://github.com/hashicorp/vault,11
https://github.com/zephyrproject-rtos/zephyr,11
https://github.com/OP-TEE/optee_os,11
https://github.com/IBAX-io/go-ibax,11
https://github.com/hapijs/hapi,11
https://github.com/InvoicePlane/InvoicePlane,11
https://github.com/FOGProject/fogproject,11
https://github.com/sourcegraph/sourcegraph,10
https://github.com/apereo/phpCAS,10
https://github.com/cerebrate-project/cerebrate,10
https://github.com/apache/zeppelin,10
https://github.com/jruby/jruby,10
https://github.com/Amanieu/parking_lot,10
https://github.com/trusteddomainproject/OpenDMARC,10
https://github.com/zadewg/RIUS,10
http://github.com/php/php-src,10
https://github.com/Katello/katello,10
https://github.com/Pylons/waitress,10
https://github.com/stacklok/minder,10
https://github.com/quic-go/quic-go,10
https://github.com/openstack/swift,10
https://github.com/bbalet/jorani,10
https://github.com/codeigniter4/CodeIgniter4,10
https://github.com/jeecgboot/jeecg-boot,10
https://github.com/casework/CASE-Utilities-Python,10
https://github.com/atutor/ATutor,10
https://github.com/ckan/ckan,10
https://github.com/cherokee/webserver,10
https://github.com/lxc/lxc,10
https://github.com/apache/shiro,10
https://github.com/mimblewimble/grin,10
https://github.com/1Panel-dev/1Panel,10
https://github.com/scrapy/scrapy,10
https://github.com/seopanel/Seo-Panel,10
https://github.com/zopefoundation/Zope,10
https://github.com/json-c/json-c,10
https://github.com/libssh2/libssh2,10
https://github.com/erlang/otp,10
https://github.com/matrix-org/matrix-react-sdk,10
https://github.com/vcftools/vcftools,10
https://github.com/pi-hole/AdminLTE,10
https://github.com/golang/net,10
https://github.com/svgpp/svgpp,10
https://github.com/the-tcpdump-group/libpcap,10
https://github.com/redpanda-data/redpanda,10
https://github.com/GreycLab/CImg,10
https://github.com/drupal/core,10
https://github.com/ntop/nDPI,10
https://github.com/debauchee/barrier,10
https://github.com/Microsoft/ChakraCore,10
https://github.com/opencart/opencart,10
https://github.com/signalwire/freeswitch,10
https://github.com/hercules-team/augeas,10
https://github.com/jellyfin/jellyfin,10
https://github.com/perl5-dbi/DBD-mysql,10
https://github.com/dpgaspar/Flask-AppBuilder,10
https://github.com/xwiki/xwiki-commons,10
https://github.com/alextselegidis/easyappointments,10
https://github.com/zenml-io/zenml,10
https://github.com/shadowsocks/shadowsocks-libev,9
https://github.com/sheredom/json.h,9
https://github.com/openscad/openscad,9
https://github.com/openwrt/routing,9
https://github.com/opengeos/streamlit-geospatial,9
https://github.com/vmware/xenon,9
https://github.com/restlet/restlet-framework-java,9
https://github.com/billz/raspap-webgui,9
https://github.com/misskey-dev/misskey,9
https://github.com/brave/brave-core,9
https://github.com/apache/zookeeper,9
https://github.com/tine20/Tine-2.0-Open-Source-Groupware-and-CRM,9
https://github.com/TribalSystems/Zenario,9
https://github.com/capnproto/capnproto,9
https://github.com/ohmyzsh/ohmyzsh,9
https://github.com/neorazorx/facturascripts,9
https://github.com/phpList/phplist3,9
https://github.com/lxml/lxml,9
https://github.com/openSUSE/libsolv,9
https://github.com/unilogies/bumsys,9
https://github.com/OpenZeppelin/openzeppelin-contracts-upgradeable,9
https://github.com/open-iscsi/tcmu-runner,9
https://github.com/harfbuzz/harfbuzz,9
https://github.com/apache/superset,9
https://github.com/btcpayserver/btcpayserver,9
https://github.com/LibreCAD/LibreCAD,9
https://github.com/quarkusio/quarkus,9
https://github.com/SixLabors/ImageSharp,9
https://github.com/it-novum/openITCOCKPIT,9
https://github.com/halo-dev/halo,9
https://github.com/PHPOffice/PhpSpreadsheet,9
https://github.com/pterodactyl/panel,9
https://github.com/bareos/bareos,9
https://github.com/opf/openproject,9
https://github.com/pimcore/customer-data-framework,9
https://github.com/louislam/uptime-kuma,9
https://github.com/chjj/marked,9
https://github.com/UNINETT/mod_auth_mellon,9
https://github.com/IdentityPython/pysaml2,9
https://github.com/parisneo/lollms,9
https://github.com/numpy/numpy,9
https://github.com/doorkeeper-gem/doorkeeper,9
https://github.com/paritytech/frontier,9
https://github.com/plougher/squashfs-tools,9
https://github.com/libjxl/libjxl,9
https://github.com/cesanta/mongoose,9
https://github.com/Vi39/Webmin-2.100,9
https://github.com/grpc/grpc,9
https://github.com/nats-io/nats-server,9
https://github.com/pfsense/FreeBSD-ports,9
https://github.com/irontec/sngrep,9
https://github.com/unshiftio/url-parse,9
https://github.com/pallets/jinja,9
https://github.com/hfp/libxsmm,9
https://github.com/tramyardg/hotel-mgmt-system,9
https://github.com/godotengine/godot,9
https://github.com/apache/hadoop,9
https://github.com/elastic/kibana,9
https://github.com/gopro/gpmf-parser,9
https://github.com/rusqlite/rusqlite,9
https://github.com/openshift/origin-server,9
https://github.com/shadow-maint/shadow,9
https://github.com/DIYgod/RSSHub,8
https://github.com/omeka/omeka-s,8
https://github.com/yogeshojha/rengine,8
https://github.com/bagisto/bagisto,8
https://github.com/open-policy-agent/opa,8
https://github.com/istio/istio,8
https://github.com/linux-pam/linux-pam,8
https://github.com/illumos/illumos-gate,8
https://github.com/slims/slims9_bulian,8
https://github.com/GNOME/gdm,8
https://github.com/weechat/weechat,8
https://github.com/htacg/tidy-html5,8
https://github.com/verdammelt/tnef,8
https://github.com/mudler/localai,8
https://github.com/hedgedoc/hedgedoc,8
https://github.com/beego/beego,8
https://github.com/concrete5/concrete5,8
https://github.com/atheme/atheme,8
https://github.com/admidio/admidio,8
https://github.com/MonetDB/MonetDB,8
https://github.com/fluent/fluent-bit,8
https://github.com/octoprint/octoprint,8
https://github.com/shevek/libspf2,8
